Date,County,Labor Force,Employed,Unemployed,Unemployment Rate (%)
January 1990,Livingston,61308,57760,3548,5.8
February 1990,Livingston,62186,58606,3580,5.8
March 1990,Livingston,62447,58759,3688,5.9
April 1990,Livingston,61341,57940,3401,5.5
May 1990,Livingston,60997,57835,3162,5.2
June 1990,Livingston,61278,57933,3345,5.5
July 1990,Livingston,60059,56407,3652,6.1
August 1990,Livingston,59918,56291,3627,6.1
September 1990,Livingston,61855,58326,3529,5.7
October 1990,Livingston,62126,58509,3617,5.8
November 1990,Livingston,62193,58939,3254,5.2
December 1990,Livingston,62873,58862,4011,6.4
January 1991,Livingston,62709,58272,4437,7.1
February 1991,Livingston,63934,59108,4826,7.5
March 1991,Livingston,64237,59328,4909,7.6
April 1991,Livingston,62709,58362,4347,6.9
May 1991,Livingston,62346,57796,4550,7.3
June 1991,Livingston,62782,57980,4802,7.6
July 1991,Livingston,62268,57740,4528,7.3
August 1991,Livingston,61838,57357,4481,7.2
September 1991,Livingston,63447,59162,4285,6.8
October 1991,Livingston,64891,60363,4528,7
November 1991,Livingston,64889,60034,4855,7.5
December 1991,Livingston,64238,59589,4649,7.2
January 1992,Livingston,67394,62132,5262,7.8
February 1992,Livingston,68067,62616,5451,8
March 1992,Livingston,68201,62819,5382,7.9
April 1992,Livingston,67241,62659,4582,6.8
May 1992,Livingston,66425,62074,4351,6.6
June 1992,Livingston,66955,62562,4393,6.6
July 1992,Livingston,66766,62869,3897,5.8
August 1992,Livingston,66529,62624,3905,5.9
September 1992,Livingston,65932,62443,3489,5.3
October 1992,Livingston,66786,63612,3174,4.8
November 1992,Livingston,67879,64836,3043,4.5
December 1992,Livingston,67954,64749,3205,4.7
January 1993,Livingston,67156,63477,3679,5.5
February 1993,Livingston,67970,64391,3579,5.3
March 1993,Livingston,67311,64039,3272,4.9
April 1993,Livingston,67400,64473,2927,4.3
May 1993,Livingston,66295,63591,2704,4.1
June 1993,Livingston,66981,64251,2730,4.1
July 1993,Livingston,66844,64046,2798,4.2
August 1993,Livingston,66408,63780,2628,4
September 1993,Livingston,66798,64225,2573,3.9
October 1993,Livingston,68353,65690,2663,3.9
November 1993,Livingston,68306,65503,2803,4.1
December 1993,Livingston,68157,65249,2908,4.3
January 1994,Livingston,69687,65565,4122,5.9
February 1994,Livingston,70307,66244,4063,5.8
March 1994,Livingston,69483,65759,3724,5.4
April 1994,Livingston,68550,65909,2641,3.9
May 1994,Livingston,67494,65261,2233,3.3
June 1994,Livingston,68126,65724,2402,3.5
July 1994,Livingston,68167,65660,2507,3.7
August 1994,Livingston,68119,65707,2412,3.5
September 1994,Livingston,68705,66571,2134,3.1
October 1994,Livingston,69922,67998,1924,2.8
November 1994,Livingston,69525,67834,1691,2.4
December 1994,Livingston,69605,67849,1756,2.5
January 1995,Livingston,69573,66767,2806,4
February 1995,Livingston,70567,67806,2761,3.9
March 1995,Livingston,70947,67961,2986,4.2
April 1995,Livingston,70135,67681,2454,3.5
May 1995,Livingston,68812,66570,2242,3.3
June 1995,Livingston,70488,67307,3181,4.5
July 1995,Livingston,71214,68579,2635,3.7
August 1995,Livingston,70064,67812,2252,3.2
September 1995,Livingston,70362,68480,1882,2.7
October 1995,Livingston,71076,69427,1649,2.3
November 1995,Livingston,71237,68851,2386,3.3
December 1995,Livingston,71079,68925,2154,3
January 1996,Livingston,71027,68159,2868,4
February 1996,Livingston,73590,70362,3228,4.4
March 1996,Livingston,74421,71548,2873,3.9
April 1996,Livingston,72694,70489,2205,3
May 1996,Livingston,71585,69631,1954,2.7
June 1996,Livingston,72706,70590,2116,2.9
July 1996,Livingston,73620,70977,2643,3.6
August 1996,Livingston,72987,70339,2648,3.6
September 1996,Livingston,73101,70813,2288,3.1
October 1996,Livingston,73859,71577,2282,3.1
November 1996,Livingston,73592,71554,2038,2.8
December 1996,Livingston,73525,71358,2167,2.9
January 1997,Livingston,73995,70453,3542,4.8
February 1997,Livingston,74179,71111,3068,4.1
March 1997,Livingston,74482,71451,3031,4.1
April 1997,Livingston,73675,71420,2255,3.1
May 1997,Livingston,72708,71227,1481,2
June 1997,Livingston,73384,71686,1698,2.3
July 1997,Livingston,74455,72362,2093,2.8
August 1997,Livingston,74484,72400,2084,2.8
September 1997,Livingston,75220,73392,1828,2.4
October 1997,Livingston,75531,73849,1682,2.2
November 1997,Livingston,76095,74442,1653,2.2
December 1997,Livingston,75916,74136,1780,2.3
January 1998,Livingston,76002,73458,2544,3.3
February 1998,Livingston,76722,74356,2366,3.1
March 1998,Livingston,77366,74906,2460,3.2
April 1998,Livingston,76297,74710,1587,2.1
May 1998,Livingston,76145,74577,1568,2.1
June 1998,Livingston,76363,74741,1622,2.1
July 1998,Livingston,76583,73343,3240,4.2
August 1998,Livingston,77382,75494,1888,2.4
September 1998,Livingston,77983,76239,1744,2.2
October 1998,Livingston,78982,77225,1757,2.2
November 1998,Livingston,79195,77499,1696,2.1
December 1998,Livingston,79504,77427,2077,2.6
January 1999,Livingston,80161,77086,3075,3.8
February 1999,Livingston,81100,78060,3040,3.7
March 1999,Livingston,81411,78726,2685,3.3
April 1999,Livingston,80634,78936,1698,2.1
May 1999,Livingston,80300,78881,1419,1.8
June 1999,Livingston,80595,79031,1564,1.9
July 1999,Livingston,81724,79925,1799,2.2
August 1999,Livingston,80516,78957,1559,1.9
September 1999,Livingston,80386,78776,1610,2
October 1999,Livingston,82060,80258,1802,2.2
November 1999,Livingston,82019,80294,1725,2.1
December 1999,Livingston,81835,80120,1715,2.1
January 2000,Livingston,90288,87728,2560,2.8
February 2000,Livingston,89855,87640,2215,2.5
March 2000,Livingston,90032,87578,2454,2.7
April 2000,Livingston,89222,87477,1745,2
May 2000,Livingston,89362,87334,2028,2.3
June 2000,Livingston,90868,88502,2366,2.6
July 2000,Livingston,90657,88240,2417,2.7
August 2000,Livingston,90731,88480,2251,2.5
September 2000,Livingston,89473,87375,2098,2.3
October 2000,Livingston,89247,87185,2062,2.3
November 2000,Livingston,88756,86788,1968,2.2
December 2000,Livingston,88900,86831,2069,2.3
January 2001,Livingston,90181,87267,2914,3.2
February 2001,Livingston,90300,87252,3048,3.4
March 2001,Livingston,90451,87314,3137,3.5
April 2001,Livingston,88557,86083,2474,2.8
May 2001,Livingston,88919,86162,2757,3.1
June 2001,Livingston,89625,86696,2929,3.3
July 2001,Livingston,90023,87037,2986,3.3
August 2001,Livingston,89809,86485,3324,3.7
September 2001,Livingston,89337,86091,3246,3.6
October 2001,Livingston,89420,85937,3483,3.9
November 2001,Livingston,88950,85365,3585,4
December 2001,Livingston,89280,85440,3840,4.3
January 2002,Livingston,90160,85500,4660,5.2
February 2002,Livingston,90180,85932,4248,4.7
March 2002,Livingston,90181,85703,4478,5
April 2002,Livingston,89577,85681,3896,4.3
May 2002,Livingston,90137,86208,3929,4.4
June 2002,Livingston,90943,86518,4425,4.9
July 2002,Livingston,91048,86709,4339,4.8
August 2002,Livingston,91060,87475,3585,3.9
September 2002,Livingston,90788,87497,3291,3.6
October 2002,Livingston,90822,87557,3265,3.6
November 2002,Livingston,90464,86842,3622,4
December 2002,Livingston,90435,86531,3904,4.3
January 2003,Livingston,91766,86694,5072,5.5
February 2003,Livingston,92127,87072,5055,5.5
March 2003,Livingston,92193,87006,5187,5.6
April 2003,Livingston,90894,86589,4305,4.7
May 2003,Livingston,91377,86711,4666,5.1
June 2003,Livingston,92793,87367,5426,5.8
July 2003,Livingston,92205,87268,4937,5.4
August 2003,Livingston,91912,87353,4559,5
September 2003,Livingston,91176,86883,4293,4.7
October 2003,Livingston,91484,87315,4169,4.6
November 2003,Livingston,91134,87328,3806,4.2
December 2003,Livingston,90841,86954,3887,4.3
January 2004,Livingston,91812,87255,4557,5
February 2004,Livingston,92223,87616,4607,5
March 2004,Livingston,92489,87512,4977,5.4
April 2004,Livingston,91110,87171,3939,4.3
May 2004,Livingston,91955,87690,4265,4.6
June 2004,Livingston,93124,88217,4907,5.3
July 2004,Livingston,93414,88802,4612,4.9
August 2004,Livingston,93613,89090,4523,4.8
September 2004,Livingston,93075,88416,4659,5
October 2004,Livingston,93837,89245,4592,4.9
November 2004,Livingston,93361,88667,4694,5
December 2004,Livingston,93409,88396,5013,5.4
January 2005,Livingston,93362,87854,5508,5.9
February 2005,Livingston,93784,87915,5869,6.3
March 2005,Livingston,93575,88159,5416,5.8
April 2005,Livingston,93494,88474,5020,5.4
May 2005,Livingston,94230,89417,4813,5.1
June 2005,Livingston,95316,90137,5179,5.4
July 2005,Livingston,95631,90857,4774,5
August 2005,Livingston,95811,91492,4319,4.5
September 2005,Livingston,95157,90591,4566,4.8
October 2005,Livingston,94570,90449,4121,4.4
November 2005,Livingston,94493,89734,4759,5
December 2005,Livingston,94171,89376,4795,5.1
January 2006,Livingston,93579,88381,5198,5.6
February 2006,Livingston,93625,88424,5201,5.6
March 2006,Livingston,94195,88914,5281,5.6
April 2006,Livingston,93220,88710,4510,4.8
May 2006,Livingston,93678,89489,4189,4.5
June 2006,Livingston,94795,89958,4837,5.1
July 2006,Livingston,95149,90211,4938,5.2
August 2006,Livingston,95427,90646,4781,5
September 2006,Livingston,95040,90058,4982,5.2
October 2006,Livingston,95444,91036,4408,4.6
November 2006,Livingston,94725,90143,4582,4.8
December 2006,Livingston,94931,89896,5035,5.3
January 2007,Livingston,93381,88101,5280,5.7
February 2007,Livingston,93488,88103,5385,5.8
March 2007,Livingston,93796,88561,5235,5.6
April 2007,Livingston,92139,87288,4851,5.3
May 2007,Livingston,92851,88089,4762,5.1
June 2007,Livingston,94109,88731,5378,5.7
July 2007,Livingston,94463,89322,5141,5.4
August 2007,Livingston,93357,88501,4856,5.2
September 2007,Livingston,93294,88119,5175,5.5
October 2007,Livingston,92498,87895,4603,5
November 2007,Livingston,92421,87843,4578,5
December 2007,Livingston,92292,87097,5195,5.6
January 2008,Livingston,91253,85837,5416,5.9
February 2008,Livingston,91140,85529,5611,6.2
March 2008,Livingston,91281,85605,5676,6.2
April 2008,Livingston,89602,85075,4527,5.1
May 2008,Livingston,91252,85463,5789,6.3
June 2008,Livingston,92295,85930,6365,6.9
July 2008,Livingston,92519,86343,6176,6.7
August 2008,Livingston,92376,86287,6089,6.6
September 2008,Livingston,91463,85323,6140,6.7
October 2008,Livingston,91264,84824,6440,7.1
November 2008,Livingston,90028,83231,6797,7.5
December 2008,Livingston,89516,82042,7474,8.3
January 2009,Livingston,88362,79998,8364,9.5
February 2009,Livingston,88450,79485,8965,10.1
March 2009,Livingston,89104,79336,9768,11
April 2009,Livingston,88610,79128,9482,10.7
May 2009,Livingston,89118,78867,10251,11.5
June 2009,Livingston,90508,78933,11575,12.8
July 2009,Livingston,90934,79624,11310,12.4
August 2009,Livingston,90686,79755,10931,12.1
September 2009,Livingston,89694,78778,10916,12.2
October 2009,Livingston,89608,78771,10837,12.1
November 2009,Livingston,89036,78874,10162,11.4
December 2009,Livingston,89445,78483,10962,12.3
January 2010,Livingston,93325,81231,12094,13
February 2010,Livingston,93266,81210,12056,12.9
March 2010,Livingston,94274,82181,12093,12.8
April 2010,Livingston,93502,82506,10996,11.8
May 2010,Livingston,93819,83101,10718,11.4
June 2010,Livingston,94302,83246,11056,11.7
July 2010,Livingston,95161,83724,11437,12
August 2010,Livingston,94884,84470,10414,11
September 2010,Livingston,93996,84137,9859,10.5
October 2010,Livingston,92998,83629,9369,10.1
November 2010,Livingston,91723,82999,8724,9.5
December 2010,Livingston,91073,82742,8331,9.1
January 2011,Livingston,90919,81964,8955,9.8
February 2011,Livingston,90508,81659,8849,9.8
March 2011,Livingston,91301,82814,8487,9.3
April 2011,Livingston,90361,82662,7699,8.5
May 2011,Livingston,91697,83697,8000,8.7
June 2011,Livingston,92624,83880,8744,9.4
July 2011,Livingston,93454,84477,8977,9.6
August 2011,Livingston,93806,85552,8254,8.8
September 2011,Livingston,93507,85622,7885,8.4
October 2011,Livingston,93265,85884,7381,7.9
November 2011,Livingston,92520,85788,6732,7.3
December 2011,Livingston,92986,85851,7135,7.7
January 2012,Livingston,92474,84546,7928,8.6
February 2012,Livingston,92220,84480,7740,8.4
March 2012,Livingston,92765,85282,7483,8.1
April 2012,Livingston,91321,84658,6663,7.3
May 2012,Livingston,92839,85565,7274,7.8
June 2012,Livingston,94135,86332,7803,8.3
July 2012,Livingston,95139,86834,8305,8.7
August 2012,Livingston,94731,87173,7558,8
September 2012,Livingston,94327,87500,6827,7.2
October 2012,Livingston,94811,87888,6923,7.3
November 2012,Livingston,93800,87334,6466,6.9
December 2012,Livingston,94383,87237,7146,7.6
January 2013,Livingston,94098,86243,7855,8.3
February 2013,Livingston,93648,86217,7431,7.9
March 2013,Livingston,94357,87149,7208,7.6
April 2013,Livingston,93876,87319,6557,7
May 2013,Livingston,95474,88488,6986,7.3
June 2013,Livingston,96709,88913,7796,8.1
July 2013,Livingston,97426,89920,7506,7.7
August 2013,Livingston,97247,90141,7106,7.3
September 2013,Livingston,96926,90178,6748,7
October 2013,Livingston,96169,89342,6827,7.1
November 2013,Livingston,95453,89217,6236,6.5
December 2013,Livingston,95711,89479,6232,6.5
January 2014,Livingston,95436,88670,6766,7.1
February 2014,Livingston,95288,88217,7071,7.4
March 2014,Livingston,95799,88948,6851,7.2
April 2014,Livingston,94272,88418,5854,6.2
May 2014,Livingston,95379,89053,6326,6.6
June 2014,Livingston,96507,89827,6680,6.9
July 2014,Livingston,97510,90751,6759,6.9
August 2014,Livingston,96527,90822,5705,5.9
September 2014,Livingston,96420,90792,5628,5.8
October 2014,Livingston,96626,91123,5503,5.7
November 2014,Livingston,95472,90553,4919,5.2
December 2014,Livingston,95378,90713,4665,4.9
January 2015,Livingston,95688,90239,5449,5.7
February 2015,Livingston,94643,89737,4906,5.2
March 2015,Livingston,95323,90583,4740,5
April 2015,Livingston,94938,90785,4153,4.4
May 2015,Livingston,96825,91850,4975,5.1
June 2015,Livingston,97451,92615,4836,5
July 2015,Livingston,98215,93342,4873,5
August 2015,Livingston,97915,93595,4320,4.4
September 2015,Livingston,97667,93613,4054,4.2
October 2015,Livingston,98162,94000,4162,4.2
November 2015,Livingston,97877,94252,3625,3.7
December 2015,Livingston,97831,94186,3645,3.7
January 2016,Livingston,94273,89987,4286,4.5
February 2016,Livingston,94450,90197,4253,4.5
March 2016,Livingston,95876,91493,4383,4.6
April 2016,Livingston,94796,91187,3609,3.8
May 2016,Livingston,95903,92095,3808,4
June 2016,Livingston,96842,92447,4395,4.5
July 2016,Livingston,98138,93607,4531,4.6
August 2016,Livingston,98044,93714,4330,4.4
September 2016,Livingston,98017,93809,4208,4.3
October 2016,Livingston,97712,93590,4122,4.2
November 2016,Livingston,97351,93466,3885,4
December 2016,Livingston,97261,93713,3548,3.6
January 2017,Livingston,97825,93141,4684,4.8
February 2017,Livingston,97734,93409,4325,4.4
March 2017,Livingston,98196,94620,3576,3.6
April 2017,Livingston,97411,94741,2670,2.7
May 2017,Livingston,97930,95227,2703,2.8
June 2017,Livingston,98810,95759,3051,3.1
July 2017,Livingston,100197,96645,3552,3.5
August 2017,Livingston,100272,96676,3596,3.6
September 2017,Livingston,100409,96666,3743,3.7
October 2017,Livingston,99518,96262,3256,3.3
November 2017,Livingston,99302,96048,3254,3.3
December 2017,Livingston,99114,95655,3459,3.5
January 2018,Livingston,99110,94921,4189,4.2
February 2018,Livingston,99495,95363,4132,4.2
March 2018,Livingston,100134,96351,3783,3.8
April 2018,Livingston,99247,96187,3060,3.1
May 2018,Livingston,99846,96895,2951,3
June 2018,Livingston,100629,97205,3424,3.4
July 2018,Livingston,101450,97857,3593,3.5
August 2018,Livingston,100836,97765,3071,3
September 2018,Livingston,101345,98074,3271,3.2
October 2018,Livingston,101606,98160,3446,3.4
November 2018,Livingston,100923,97874,3049,3
December 2018,Livingston,101426,97977,3449,3.4
January 2019,Livingston,100929,97184,3745,3.7
February 2019,Livingston,101276,97319,3957,3.9
March 2019,Livingston,102050,97887,4163,4.1
April 2019,Livingston,100598,97434,3164,3.1
May 2019,Livingston,100881,97654,3227,3.2
June 2019,Livingston,101898,98374,3524,3.5
July 2019,Livingston,103436,99628,3808,3.7
August 2019,Livingston,103125,99591,3534,3.4
September 2019,Livingston,102996,99657,3339,3.2
October 2019,Livingston,102541,99621,2920,2.8
November 2019,Livingston,101656,98815,2841,2.8
December 2019,Livingston,101638,98637,3001,3
January 2020,Livingston,100618,97385,3233,3.2
February 2020,Livingston,100270,97194,3076,3.1
March 2020,Livingston,99927,96146,3781,3.8
April 2020,Livingston,87106,68482,18624,21.4
May 2020,Livingston,97170,77280,19890,20.5
June 2020,Livingston,96524,82634,13890,14.4
July 2020,Livingston,97438,86257,11181,11.5
August 2020,Livingston,97310,89499,7811,8
September 2020,Livingston,97083,90080,7003,7.2
October 2020,Livingston,97528,92025,5503,5.6
November 2020,Livingston,96813,91592,5221,5.4
December 2020,Livingston,94968,89453,5515,5.8
January 2021,Livingston,96747,91509,5238,5.4
February 2021,Livingston,96394,91515,4879,5.1
March 2021,Livingston,97863,92873,4990,5.1
April 2021,Livingston,96693,92709,3984,4.1
May 2021,Livingston,97052,92929,4123,4.2
June 2021,Livingston,98439,93676,4763,4.8
July 2021,Livingston,99628,95055,4573,4.6
August 2021,Livingston,99866,95729,4137,4.1
September 2021,Livingston,99820,95896,3924,3.9
October 2021,Livingston,99704,96336,3368,3.4
November 2021,Livingston,99750,96747,3003,3
December 2021,Livingston,99743,96636,3107,3.1
January 2022,Livingston,99778,95768,4010,4
February 2022,Livingston,99661,95928,3733,3.7
March 2022,Livingston,100349,96993,3356,3.3
April 2022,Livingston,98857,96264,2593,2.6
May 2022,Livingston,99426,96276,3150,3.2
June 2022,Livingston,100264,97121,3143,3.1
July 2022,Livingston,100860,98077,2783,2.8
August 2022,Livingston,100983,98216,2767,2.7
September 2022,Livingston,100440,97821,2619,2.6
October 2022,Livingston,100771,98081,2690,2.7
November 2022,Livingston,100283,97739,2544,2.5
December 2022,Livingston,101020,98385,2635,2.6
January 2023,Livingston,100427,97080,3347,3.3
February 2023,Livingston,100227,97192,3035,3
March 2023,Livingston,101628,98963,2665,2.6
April 2023,Livingston,100605,98762,1843,1.8
May 2023,Livingston,101624,98865,2759,2.7
June 2023,Livingston,102803,99733,3070,3
July 2023,Livingston,104031,100870,3161,3
August 2023,Livingston,104230,101146,3084,3
September 2023,Livingston,104213,100986,3227,3.1
October 2023,Livingston,103354,100220,3134,3
November 2023,Livingston,103154,100470,2684,2.6
December 2023,Livingston,102735,100126,2609,2.5
January 2024,Livingston,101363,98255,3108,3.1
February 2024,Livingston,100863,97602,3261,3.2
March 2024,Livingston,101838,98768,3070,3
April 2024,Livingston,100866,98272,2594,2.6
May 2024,Livingston,101059,97877,3182,3.1
June 2024,Livingston,101839,98038,3801,3.7
July 2024,Livingston,102509,98558,3951,3.9
August 2024,Livingston,102326,99013,3313,3.2
September 2024,Livingston,102392,98837,3555,3.5
October 2024,Livingston,101477,98032,3445,3.4
November 2024,Livingston,100945,97481,3464,3.4
December 2024,Livingston,101023,97498,3525,3.5
January 2025,Livingston,100559,96733,3826,3.8
February 2025,Livingston,100206,96228,3978,4
March 2025,Livingston,101052,97229,3823,3.8
April 2025,Livingston,100129,97213,2916,2.9
May 2025,Livingston,100211,96697,3514,3.5
June 2025,Livingston,101348,97576,3772,3.7
July 2025,Livingston,101930,97769,4161,4.1
August 2025,Livingston,100887,97481,3406,3.4
September 2025,Livingston,100669,97103,3566,3.5
October 2025,Livingston,NA,NA,NA,NA
November 2025,Livingston,101814,97901,3913,3.8
December 2025,Livingston,101547,97928,3619,3.6
January 2026,Livingston,100911,96706,4205,4.2
February 2026,Livingston,100450,96067,4383,4.4
March 2026,Livingston,101283,97288,3995,3.9
April 2026,Livingston,101382,98097,3285,3.2
May 2026,Livingston,102447,98016,4431,4.3
January 1990,Oakland,604879,562327,42552,7
February 1990,Oakland,597728,561116,36612,6.1
March 1990,Oakland,597736,560263,37473,6.3
April 1990,Oakland,594308,559894,34414,5.8
May 1990,Oakland,602720,567248,35472,5.9
June 1990,Oakland,609851,573136,36715,6
July 1990,Oakland,609667,575525,34142,5.6
August 1990,Oakland,612847,575997,36850,6
September 1990,Oakland,606638,567788,38850,6.4
October 1990,Oakland,602538,567390,35148,5.8
November 1990,Oakland,598025,562931,35094,5.9
December 1990,Oakland,596900,563278,33622,5.6
January 1991,Oakland,592246,550661,41585,7
February 1991,Oakland,593066,549510,43556,7.3
March 1991,Oakland,601644,551327,50317,8.4
April 1991,Oakland,588886,549092,39794,6.8
May 1991,Oakland,595411,549640,45771,7.7
June 1991,Oakland,607210,559359,47851,7.9
July 1991,Oakland,608968,563454,45514,7.5
August 1991,Oakland,611010,563883,47127,7.7
September 1991,Oakland,608539,560788,47751,7.8
October 1991,Oakland,604595,560439,44156,7.3
November 1991,Oakland,602797,558134,44663,7.4
December 1991,Oakland,605183,560118,45065,7.4
January 1992,Oakland,609468,554816,54652,9
February 1992,Oakland,605625,554832,50793,8.4
March 1992,Oakland,612561,560963,51598,8.4
April 1992,Oakland,608161,562322,45839,7.5
May 1992,Oakland,613781,566658,47123,7.7
June 1992,Oakland,631662,573918,57744,9.1
July 1992,Oakland,630163,580089,50074,7.9
August 1992,Oakland,632511,586153,46358,7.3
September 1992,Oakland,622306,578650,43656,7
October 1992,Oakland,617165,578106,39059,6.3
November 1992,Oakland,612831,577586,35245,5.8
December 1992,Oakland,614772,579553,35219,5.7
January 1993,Oakland,604744,566680,38064,6.3
February 1993,Oakland,608531,571212,37319,6.1
March 1993,Oakland,613142,575135,38007,6.2
April 1993,Oakland,608033,573760,34273,5.6
May 1993,Oakland,616225,581948,34277,5.6
June 1993,Oakland,627660,589344,38316,6.1
July 1993,Oakland,631099,593540,37559,6
August 1993,Oakland,635559,596821,38738,6.1
September 1993,Oakland,628533,590196,38337,6.1
October 1993,Oakland,632264,592750,39514,6.2
November 1993,Oakland,627233,590812,36421,5.8
December 1993,Oakland,627665,591583,36082,5.7
January 1994,Oakland,625202,584450,40752,6.5
February 1994,Oakland,622342,585102,37240,6
March 1994,Oakland,618575,584267,34308,5.5
April 1994,Oakland,611007,584115,26892,4.4
May 1994,Oakland,614988,590070,24918,4.1
June 1994,Oakland,620824,594748,26076,4.2
July 1994,Oakland,622922,597621,25301,4.1
August 1994,Oakland,631373,604036,27337,4.3
September 1994,Oakland,626612,602044,24568,3.9
October 1994,Oakland,628860,605854,23006,3.7
November 1994,Oakland,624283,605137,19146,3.1
December 1994,Oakland,623767,606003,17764,2.8
January 1995,Oakland,619606,593933,25673,4.1
February 1995,Oakland,620112,594954,25158,4.1
March 1995,Oakland,621578,594678,26900,4.3
April 1995,Oakland,618580,594854,23726,3.8
May 1995,Oakland,623534,600350,23184,3.7
June 1995,Oakland,632846,605983,26863,4.2
July 1995,Oakland,635741,612861,22880,3.6
August 1995,Oakland,637310,615391,21919,3.4
September 1995,Oakland,629029,608644,20385,3.2
October 1995,Oakland,633840,614843,18997,3
November 1995,Oakland,632725,613634,19091,3
December 1995,Oakland,633507,614094,19413,3.1
January 1996,Oakland,629320,604922,24398,3.9
February 1996,Oakland,635455,611753,23702,3.7
March 1996,Oakland,642590,615944,26646,4.1
April 1996,Oakland,632815,613223,19592,3.1
May 1996,Oakland,637098,615684,21414,3.4
June 1996,Oakland,643993,620552,23441,3.6
July 1996,Oakland,649919,625395,24524,3.8
August 1996,Oakland,650050,627268,22782,3.5
September 1996,Oakland,642527,619705,22822,3.6
October 1996,Oakland,646188,624215,21973,3.4
November 1996,Oakland,643457,623016,20441,3.2
December 1996,Oakland,641633,622266,19367,3
January 1997,Oakland,637386,610745,26641,4.2
February 1997,Oakland,637728,613878,23850,3.7
March 1997,Oakland,642437,618598,23839,3.7
April 1997,Oakland,634506,616613,17893,2.8
May 1997,Oakland,640888,623865,17023,2.7
June 1997,Oakland,648220,628724,19496,3
July 1997,Oakland,654932,635817,19115,2.9
August 1997,Oakland,657103,638123,18980,2.9
September 1997,Oakland,651460,632306,19154,2.9
October 1997,Oakland,652489,633729,18760,2.9
November 1997,Oakland,653336,636320,17016,2.6
December 1997,Oakland,650352,634519,15833,2.4
January 1998,Oakland,646140,624341,21799,3.4
February 1998,Oakland,649024,628798,20226,3.1
March 1998,Oakland,653457,632799,20658,3.2
April 1998,Oakland,646634,631999,14635,2.3
May 1998,Oakland,652921,636498,16423,2.5
June 1998,Oakland,662014,641682,20332,3.1
July 1998,Oakland,651081,623788,27293,4.2
August 1998,Oakland,664063,645213,18850,2.8
September 1998,Oakland,661276,642783,18493,2.8
October 1998,Oakland,664672,646160,18512,2.8
November 1998,Oakland,665087,646897,18190,2.7
December 1998,Oakland,666881,647743,19138,2.9
January 1999,Oakland,662197,638776,23421,3.5
February 1999,Oakland,662774,638734,24040,3.6
March 1999,Oakland,668175,645590,22585,3.4
April 1999,Oakland,664892,646468,18424,2.8
May 1999,Oakland,671634,655234,16400,2.4
June 1999,Oakland,679727,659870,19857,2.9
July 1999,Oakland,679149,661055,18094,2.7
August 1999,Oakland,681794,664904,16890,2.5
September 1999,Oakland,677022,658986,18036,2.7
October 1999,Oakland,684058,665755,18303,2.7
November 1999,Oakland,684171,667343,16828,2.5
December 1999,Oakland,684095,669087,15008,2.2
January 2000,Oakland,678643,659575,19068,2.8
February 2000,Oakland,675356,658908,16448,2.4
March 2000,Oakland,677528,658447,19081,2.8
April 2000,Oakland,671775,657680,14095,2.1
May 2000,Oakland,673811,656608,17203,2.6
June 2000,Oakland,685663,665397,20266,3
July 2000,Oakland,684333,663422,20911,3.1
August 2000,Oakland,685184,665229,19955,2.9
September 2000,Oakland,674988,656911,18077,2.7
October 2000,Oakland,673027,655493,17534,2.6
November 2000,Oakland,669157,652510,16647,2.5
December 2000,Oakland,668890,652823,16067,2.4
January 2001,Oakland,662007,637578,24429,3.7
February 2001,Oakland,661162,637472,23690,3.6
March 2001,Oakland,662813,637928,24885,3.8
April 2001,Oakland,650864,628925,21939,3.4
May 2001,Oakland,653701,629514,24187,3.7
June 2001,Oakland,660052,633404,26648,4
July 2001,Oakland,662018,635896,26122,3.9
August 2001,Oakland,663109,631865,31244,4.7
September 2001,Oakland,657692,628991,28701,4.4
October 2001,Oakland,657737,627869,29868,4.5
November 2001,Oakland,655778,623682,32096,4.9
December 2001,Oakland,655361,624229,31132,4.8
January 2002,Oakland,643614,606133,37481,5.8
February 2002,Oakland,640942,609196,31746,5
March 2002,Oakland,642925,607579,35346,5.5
April 2002,Oakland,637754,607413,30341,4.8
May 2002,Oakland,644178,611151,33027,5.1
June 2002,Oakland,650410,613348,37062,5.7
July 2002,Oakland,650475,614702,35773,5.5
August 2002,Oakland,653002,620134,32868,5
September 2002,Oakland,649935,620294,29641,4.6
October 2002,Oakland,650822,620725,30097,4.6
November 2002,Oakland,646620,615650,30970,4.8
December 2002,Oakland,644585,613440,31145,4.8
January 2003,Oakland,639820,602830,36990,5.8
February 2003,Oakland,641564,605450,36114,5.6
March 2003,Oakland,641366,605000,36366,5.7
April 2003,Oakland,633155,602108,31047,4.9
May 2003,Oakland,638934,602948,35986,5.6
June 2003,Oakland,650640,607509,43131,6.6
July 2003,Oakland,647087,606827,40260,6.2
August 2003,Oakland,644873,607403,37470,5.8
September 2003,Oakland,639869,604151,35718,5.6
October 2003,Oakland,641432,607147,34285,5.3
November 2003,Oakland,638461,607234,31227,4.9
December 2003,Oakland,634361,604640,29721,4.7
January 2004,Oakland,629004,594162,34842,5.5
February 2004,Oakland,629999,596623,33376,5.3
March 2004,Oakland,632476,595916,36560,5.8
April 2004,Oakland,622867,593590,29277,4.7
May 2004,Oakland,631709,597132,34577,5.5
June 2004,Oakland,638248,600720,37528,5.9
July 2004,Oakland,643334,604706,38628,6
August 2004,Oakland,643820,606674,37146,5.8
