county_name,date,employed_count,labor_force,unemployed_count,unemployment_rate
Livingston,2013-04-01,87319,93876,6557,7
Livingston,2013-05-01,88488,95474,6986,7.3
Livingston,2013-06-01,88913,96709,7796,8.1
Livingston,2013-07-01,89920,97426,7506,7.7
Livingston,2013-08-01,90141,97247,7106,7.3
Livingston,2013-09-01,90178,96926,6748,7
Livingston,2013-10-01,89342,96169,6827,7.1
Livingston,2013-11-01,89217,95453,6236,6.5
Livingston,2013-12-01,89479,95711,6232,6.5
Livingston,2014-01-01,88670,95436,6766,7.1
Livingston,2014-02-01,88217,95288,7071,7.4
Livingston,2014-03-01,88948,95799,6851,7.2
Livingston,2014-04-01,88418,94272,5854,6.2
Livingston,2014-05-01,89053,95379,6326,6.6
Livingston,2014-06-01,89827,96507,6680,6.9
Livingston,2014-07-01,90751,97510,6759,6.9
Livingston,2014-08-01,90822,96527,5705,5.9
Livingston,2014-09-01,90792,96420,5628,5.8
Livingston,2014-10-01,91123,96626,5503,5.7
Livingston,2014-11-01,90553,95472,4919,5.2
Livingston,2014-12-01,90713,95378,4665,4.9
Livingston,2015-01-01,90239,95688,5449,5.7
Livingston,2015-02-01,89737,94643,4906,5.2
Livingston,2015-03-01,90583,95323,4740,5
Livingston,2015-04-01,90785,94938,4153,4.4
Livingston,2015-05-01,91850,96825,4975,5.1
Livingston,2015-06-01,92615,97451,4836,5
Livingston,2015-07-01,93342,98215,4873,5
Livingston,2015-08-01,93595,97915,4320,4.4
Livingston,2015-09-01,93613,97667,4054,4.2
Livingston,2015-10-01,94000,98162,4162,4.2
Livingston,2015-11-01,94252,97877,3625,3.7
Livingston,2015-12-01,94186,97831,3645,3.7
Livingston,2016-01-01,89987,94273,4286,4.5
Livingston,2016-02-01,90197,94450,4253,4.5
Livingston,2016-03-01,91493,95876,4383,4.6
Livingston,2016-04-01,91187,94796,3609,3.8
Livingston,2016-05-01,92095,95903,3808,4
Livingston,2016-06-01,92447,96842,4395,4.5
Livingston,2016-07-01,93607,98138,4531,4.6
Livingston,2016-08-01,93714,98044,4330,4.4
Livingston,2016-09-01,93809,98017,4208,4.3
Livingston,2016-10-01,93590,97712,4122,4.2
Livingston,2016-11-01,93466,97351,3885,4
Livingston,2016-12-01,93713,97261,3548,3.6
Livingston,2017-01-01,93141,97825,4684,4.8
Livingston,2017-02-01,93409,97734,4325,4.4
Livingston,2017-03-01,94620,98196,3576,3.6
Livingston,2017-04-01,94741,97411,2670,2.7
Livingston,2017-05-01,95227,97930,2703,2.8
Livingston,2017-06-01,95759,98810,3051,3.1
Livingston,2017-07-01,96645,100197,3552,3.5
Livingston,2017-08-01,96676,100272,3596,3.6
Livingston,2017-09-01,96666,100409,3743,3.7
Livingston,2017-10-01,96262,99518,3256,3.3
Livingston,2017-11-01,96048,99302,3254,3.3
Livingston,2017-12-01,95655,99114,3459,3.5
Livingston,2018-01-01,94921,99110,4189,4.2
Livingston,2018-02-01,95363,99495,4132,4.2
Livingston,2018-03-01,96351,100134,3783,3.8
Livingston,2018-04-01,96187,99247,3060,3.1
Livingston,2018-05-01,96895,99846,2951,3
Livingston,2018-06-01,97205,100629,3424,3.4
Livingston,2018-07-01,97857,101450,3593,3.5
Livingston,2018-08-01,97765,100836,3071,3
Livingston,2018-09-01,98074,101345,3271,3.2
Livingston,2018-10-01,98160,101606,3446,3.4
Livingston,2018-11-01,97874,100923,3049,3
Livingston,2018-12-01,97977,101426,3449,3.4
Livingston,2019-01-01,97184,100929,3745,3.7
Livingston,2019-02-01,97319,101276,3957,3.9
Livingston,2019-03-01,97887,102050,4163,4.1
Livingston,2019-04-01,97434,100598,3164,3.1
Livingston,2019-05-01,97654,100881,3227,3.2
Livingston,2019-06-01,98374,101898,3524,3.5
Livingston,2019-07-01,99628,103436,3808,3.7
Livingston,2019-08-01,99591,103125,3534,3.4
Livingston,2019-09-01,99657,102996,3339,3.2
Livingston,2019-10-01,99621,102541,2920,2.8
Livingston,2019-11-01,98815,101656,2841,2.8
Livingston,2019-12-01,98637,101638,3001,3
Livingston,2020-01-01,97385,100618,3233,3.2
Livingston,2020-02-01,97194,100270,3076,3.1
Livingston,2020-03-01,96146,99927,3781,3.8
Livingston,2020-04-01,68482,87106,18624,21.4
Livingston,2020-05-01,77280,97170,19890,20.5
Livingston,2020-06-01,82634,96524,13890,14.4
Livingston,2020-07-01,86257,97438,11181,11.5
Livingston,2020-08-01,89499,97310,7811,8
Livingston,2020-09-01,90080,97083,7003,7.2
Livingston,2020-10-01,92025,97528,5503,5.6
Livingston,2020-11-01,91592,96813,5221,5.4
Livingston,2020-12-01,89453,94968,5515,5.8
Livingston,2021-01-01,91509,96747,5238,5.4
Livingston,2021-02-01,91515,96394,4879,5.1
Livingston,2021-03-01,92873,97863,4990,5.1
Livingston,2021-04-01,92709,96693,3984,4.1
Livingston,2021-05-01,92929,97052,4123,4.2
Livingston,2021-06-01,93676,98439,4763,4.8
Livingston,2021-07-01,95055,99628,4573,4.6
Livingston,2021-08-01,95729,99866,4137,4.1
Livingston,2021-09-01,95896,99820,3924,3.9
Livingston,2021-10-01,96336,99704,3368,3.4
Livingston,2021-11-01,96747,99750,3003,3
Livingston,2021-12-01,96636,99743,3107,3.1
Livingston,2022-01-01,95768,99778,4010,4
Livingston,2022-02-01,95928,99661,3733,3.7
Livingston,2022-03-01,96993,100349,3356,3.3
Livingston,2022-04-01,96264,98857,2593,2.6
Livingston,2022-05-01,96276,99426,3150,3.2
Livingston,2022-06-01,97121,100264,3143,3.1
